id,sex,ht1,ht2,ht3,length,wd1,wd2,wd3,head1,head2,head3,wt,age
1,2,149,120.8,71.6,148.3,96,84.2,91.8,22.3,15,17.4,54.5,52
2,2,145.1,117.9,67.8,136.2,86.2,68,88.6,20.3,15.6,17.8,49.5,39
3,2,156.8,128.4,72.3,156.3,96.3,81.7,97.9,22.8,15.8,18,63.8,46
4,2,167.5,138.2,80.8,169.5,81.4,66.2,93,23.9,146,18.6,58.5,23
5,2,156,126.1,74.9,154.2,75.2,60.1,82.1,20.9,15.5,18.5,49,21
6,2,165.2,130.4,81.5,158.6,86.2,67.8,91,22.6,15.3,17.7,61.5,21
7,2,159.2,126.9,79,159.9,89.4,74.6,91,22.4,15.7,19.2,61.5,21
8,2,156.3,127.9,75.7,157.8,80.6,66.1,89.7,20,15.3,16.7,49,36
9,2,156.9,127.5,76.7,159.8,86.4,69.2,93.4,22.7,16.4,18.8,57.5,33
10,2,156.8,126.7,75.6,155.8,79.2,60.8,84.5,21.2,15.5,17.9,48.5,24
11,2,168.3,138,80.2,164.8,90.4,72.3,94.8,22.2,15.9,16.9,62.5,34
12,2,160.7,131.5,78.2,160.8,87.9,71.9,93.6,22.2,16.1,18.1,59,21
13,2,149.7,119.5,73.8,146.9,83.9,70.1,91,21.9,15.2,17.7,54,21
14,1,171.3,140.2,83,167.7,91.7,87.2,94.2,23.3,16.8,18.4,69.2,33
15,1,165.8,135.8,82.7,159,87.8,74.6,91.2,23.2,16,19.3,61.5,26
16,1,163.7,131.8,79.6,163.9,95.7,79.4,91.7,23.2,16.2,17.7,68,25
17,1,174.9,141.5,85.5,172,89.8,76,91.4,24.3,15.8,17.5,67,23
18,1,166.2,136.1,77.9,165.2,89,80.8,94.9,23.5,15.6,19.8,66,35
19,1,161.7,131.8,75.4,151.5,89.7,68.3,85.8,21.6,16.1,16.4,57,24
20,1,163.9,132,79,164.9,97.7,88.8,96.2,21.5,17.2,18.5,70,36
21,2,163.5,130,76,158.5,83.7,67.5,92.8,23.7,16,18.3,57.5,36
22,2,155.5,124.7,75.8,150.4,87.9,70,89.1,20.6,16.1,17.8,54,32
23,1,162,130,77.8,162.9,93.4,85.5,91.7,21.6,16.3,18.9,63.3,22
24,1,174.2,140.3,82.5,169.7,84.5,67.7,85.2,22,16.6,18.3,57.8,26
25,1,179.6,146.8,88.7,180.7,90.3,76.8,92.5,24.1,15.8,18.9,68,24
26,1,170.4,139.6,82.3,162.8,87.3,65.6,87.6,22.2,16.1,19,65.5,25
27,1,174.3,143.4,85.1,176.8,100.8,92.2,111.4,22.3,17,19.6,88,24
28,1,166.6,135.8,80,167.8,89.4,79.5,88.3,22.9,16.7,18.6,62.5,40
29,1,169.7,138.1,80.5,167,83.6,70.8,84,24.7,15.8,20.5,56.5,25
30,1,171,139.3,86.2,170,83.5,68.8,87.5,23.4,16.9,18,58.5,21
31,1,164.9,137.7,84.2,170.3,86.4,75.8,88.4,21.7,15.3,17.5,59.5,31
32,1,174.6,140.1,85.4,173,90.9,76.1,93.4,25.3,16.8,18.4,66,30
33,1,164.1,135,79.6,168.6,92.2,82.3,89.3,22.8,15.4,17.7,61.5,43
34,1,168.1,136.4,83.5,171.4,103.4,84.5,96.4,22.3,16.8,18.9,75,37
35,1,169.1,136.3,84.5,172.6,88.4,82.1,92.2,22.9,16,18.1,64,36
36,2,165,133.6,81.3,160.9,78.3,60.2,88.6,21.4,16,17.5,51,22
37,1,176.8,141.4,83.4,173.3,98.3,86.4,100.4,22.7,17.3,18.6,80.6,26
38,1,172.2,142.8,84,165.4,95.1,84.3,93.8,22.5,16,18,71,41
39,1,173.2,140.7,87.8,173.6,94.5,83.4,95.1,25.1,16.3,19,70.5,37
40,1,180.3,148.3,90.7,177.4,105.5,91.2,103.2,25.6,17.4,19,91,40
41,2,161.8,131.4,76.6,152.5,81.9,71.2,88.3,21,15.1,17.2,55,37
42,2,152.9,124.1,74.1,149.5,75.9,56.5,80.5,21.3,14.9,17.4,42,20
43,2,165.1,134.1,83.3,162.9,78.7,61.3,87.7,22.1,14.7,17,51,28
44,2,155.9,127.3,73.9,153.6,77.6,61.3,85.7,21.2,14.5,17.6,48,22
45,1,167.1,134.1,81.2,171.8,98.5,85.2,97.5,24.6,15.7,19,76,20
46,1,163,130.6,78.2,162.2,80.6,67.8,82,22.3,15.4,19.3,52.5,26
47,2,162.3,134.1,81.8,164.9,99.4,89.3,92.3,23,14.4,18.9,64,52
48,1,175.7,146.1,86.2,178.9,96.8,90.3,101.8,24,16.5,18.7,80,29
49,1,169.7,139.7,82.1,171.8,93.6,80.6,91.4,24.4,16.2,18.7,67.5,28
50,1,159,128.9,76,153.5,100,81.5,95,23.1,17,18,70.5,29
